region,price,bedrooms,bathrooms,mainroad,guestroom,basement,airconditioning,parking,furnishingstatus
North,"£322,000",4,1,yes,yes,no,yes,0,furnished
London,"£315,000",3,1,yes,no,yes,yes,0,furnished
East,"£315,000",3,1,yes,no,yes,yes,2,semi-furnished
London,"£315,000",3,1,yes,yes,yes,no,2,furnished
East,"£314,300",3,1,yes,yes,yes,yes,0,semi-furnished
London,"£312,900",4,2,yes,no,yes,no,1,semi-furnished
East,"£311,500",4,2,yes,no,no,no,0,furnished
London,"£311,500",3,2,yes,no,no,no,1,furnished
West,"£311,500",3,1,yes,no,no,yes,2,semi-furnished
East,"£308,700",3,1,yes,no,yes,no,2,unfurnished
London,"£308,000",3,2,yes,no,no,yes,0,unfurnished
Northwest,"£308,000",3,1,yes,yes,no,yes,1,furnished
Northwest,"£304,500",3,1,yes,no,no,no,2,semi-furnished
East,"£301,000",3,1,yes,yes,yes,no,0,unfurnished
Southeast,"£301,000",4,1,yes,yes,no,no,0,semi-furnished
Northwest,"£300,300",3,1,yes,no,no,yes,0,semi-furnished
East,"£297,500",3,1,yes,no,no,yes,0,unfurnished
East,"£294,000",3,1,yes,no,yes,no,2,semi-furnished
Southeast,"£294,000",3,2,yes,no,no,yes,0,unfurnished
Northwest,"£294,000",4,2,yes,no,no,yes,2,unfurnished
East,"£294,000",4,1,yes,no,no,no,1,semi-furnished
Southwest,"£294,000",3,1,yes,no,no,yes,0,semi-furnished
London,"£287,000",3,1,yes,yes,yes,yes,2,furnished
Southeast,"£287,000",3,2,yes,no,no,yes,0,unfurnished
East,"£287,000",4,2,yes,yes,yes,no,1,semi-furnished
Northwest,"£285,250",4,2,yes,no,no,no,1,semi-furnished
East,"£283,500",5,2,no,no,yes,no,0,unfurnished
East,"£280,000",4,1,yes,yes,yes,yes,1,furnished
Southwest,"£273,000",3,1,yes,no,no,no,0,furnished
Northwest,"£273,000",2,1,yes,no,no,no,1,semi-furnished
Northwest,"£269,500",3,2,yes,no,no,no,1,semi-furnished
London,"£266,000",3,1,yes,no,no,no,0,semi-furnished
London,"£266,000",4,2,yes,no,yes,no,0,semi-furnished
Southwest,"£266,000",3,1,yes,yes,yes,yes,0,unfurnished
London,"£266,000",4,1,yes,no,no,yes,2,semi-furnished
Northwest,"£265,300",5,1,yes,yes,yes,yes,0,furnished
East,"£265,300",3,3,yes,no,yes,no,0,semi-furnished
North,"£260,400",3,2,yes,no,no,no,2,semi-furnished
Southeast,"£259,000",3,2,yes,no,yes,no,2,furnished
East,"£259,000",3,1,yes,yes,yes,no,0,semi-furnished
Southwest,"£252,000",4,2,no,yes,yes,no,1,furnished
Northeast,"£252,000",3,1,yes,no,no,no,2,semi-furnished
East,"£248,500",3,2,yes,yes,yes,yes,0,furnished
Southeast,"£245,000",4,1,yes,yes,no,yes,0,furnished
Southeast,"£245,000",3,1,yes,yes,no,yes,0,semi-furnished
London,"£245,000",4,2,yes,yes,yes,no,0,semi-furnished
East,"£245,000",3,1,yes,yes,yes,yes,0,semi-furnished
East,"£245,000",3,2,yes,yes,yes,no,1,furnished
London,"£245,000",3,2,yes,yes,yes,no,0,unfurnished
Northeast,"£240,800",3,1,yes,no,yes,yes,2,unfurnished
London,"£238,000",2,2,yes,no,no,yes,2,semi-furnished
South,"£234,500",4,1,yes,no,yes,yes,0,furnished
London,"£231,000",4,2,no,no,no,yes,0,semi-furnished
Northwest,"£227,500",3,2,yes,no,yes,no,0,semi-furnished
Northwest,"£227,500",3,1,yes,no,no,no,1,semi-furnished
North,"£224,000",3,1,yes,yes,yes,yes,2,unfurnished
Northwest,"£223,300",4,2,yes,no,no,yes,0,unfurnished
North,"£213,500",3,1,yes,yes,yes,no,1,unfurnished
Northwest,"£210,000",4,2,yes,yes,no,no,2,semi-furnished
North,"£210,000",3,1,yes,no,no,yes,2,furnished
Southeast,"£210,000",3,1,yes,no,yes,no,0,semi-furnished
East,"£196,000",3,1,yes,yes,yes,no,2,semi-furnished
East,"£189,000",3,2,yes,no,no,no,2,semi-furnished
London,"£189,000",4,2,no,no,yes,yes,2,semi-furnished
East,"£185,500",3,1,yes,yes,yes,no,1,furnished
Southwest,"£182,000",3,1,no,no,no,yes,0,semi-furnished
Northeast,"£175,000",3,1,yes,no,no,no,1,semi-furnished
West,"£175,000",3,2,yes,yes,yes,no,0,furnished
West,,3,1,yes,no,yes,no,0,unfurnished
Northwest,,2,1,yes,no,no,no,0,furnished
Southeast,,3,1,yes,no,yes,yes,0,semi-furnished
Northwest,,2,1,yes,no,no,yes,0,unfurnished
Southwest,,2,1,no,yes,yes,no,0,semi-furnished
Northeast,,4,1,yes,no,no,yes,2,furnished
Northwest,,3,1,yes,yes,yes,no,0,semi-furnished
London,,3,1,yes,yes,yes,no,0,furnished
East,,2,1,yes,yes,yes,no,0,semi-furnished
North,,3,2,yes,yes,yes,no,0,semi-furnished
London,,4,3,yes,no,yes,no,2,semi-furnished
Northeast,,3,1,yes,yes,yes,no,0,semi-furnished
Southwest,,3,2,no,no,yes,yes,1,semi-furnished
Southeast,,3,1,yes,no,no,yes,0,semi-furnished
South,,3,1,yes,no,no,no,1,furnished
London,,3,1,yes,no,yes,yes,0,semi-furnished
South,,3,1,no,yes,yes,yes,0,semi-furnished
South,,2,1,yes,no,yes,no,1,semi-furnished
Northwest,,4,1,yes,no,no,no,0,semi-furnished
East,,3,1,yes,yes,yes,no,0,semi-furnished
London,,3,1,yes,no,no,yes,2,semi-furnished
Southeast,,2,1,yes,yes,yes,yes,0,semi-furnished
West,,3,1,yes,no,yes,yes,0,semi-furnished
West,,3,1,yes,no,no,no,0,semi-furnished
East,,3,1,yes,no,no,no,0,unfurnished
East,,3,1,yes,yes,yes,no,2,semi-furnished
West,,3,1,yes,no,no,no,2,furnished
Southwest,,4,2,yes,no,yes,yes,2,semi-furnished
Southwest,,4,2,yes,no,yes,no,0,semi-furnished
London,,2,1,yes,no,yes,no,0,unfurnished
South,,3,1,yes,no,no,no,0,unfurnished
Southeast,,3,1,yes,no,no,no,2,semi-furnished
East,,3,1,yes,no,no,yes,2,furnished
East,,2,1,yes,no,no,yes,0,semi-furnished
East,,3,1,yes,no,yes,no,0,unfurnished
North,,4,1,yes,no,yes,yes,2,semi-furnished
Southwest,,4,2,yes,no,no,no,0,semi-furnished
North,,2,1,yes,no,yes,yes,2,semi-furnished
London,,3,1,yes,no,yes,yes,1,furnished
Northwest,,2,1,yes,no,no,yes,2,unfurnished
London,,2,1,yes,no,no,yes,3,semi-furnished
Northwest,,3,1,yes,no,no,yes,0,semi-furnished
Southeast,,2,1,yes,no,yes,yes,1,furnished
North,,3,1,yes,no,no,no,2,semi-furnished
Northwest,,4,2,yes,yes,yes,no,1,semi-furnished
Northwest,,2,1,yes,no,no,no,0,semi-furnished
London,,3,1,yes,no,no,no,0,semi-furnished
North,,3,1,yes,no,yes,no,0,furnished
South,,3,1,yes,yes,yes,yes,0,unfurnished
Northeast,,3,2,yes,no,yes,no,2,semi-furnished
Northwest,,3,1,yes,yes,no,yes,1,semi-furnished
West,,2,1,yes,yes,yes,no,0,semi-furnished
Southwest,,3,1,yes,no,yes,no,0,semi-furnished
London,,4,2,yes,no,yes,no,0,semi-furnished
South,,3,1,yes,no,no,no,1,furnished
Northeast,,3,1,yes,no,no,no,1,semi-furnished
North,,3,1,yes,no,no,no,2,semi-furnished
North,,3,1,yes,no,no,yes,0,furnished
London,,3,1,yes,no,yes,no,0,furnished
Northwest,,3,1,yes,yes,yes,no,0,semi-furnished
Northwest,,3,1,yes,no,no,no,2,unfurnished
Southwest,,3,1,yes,no,no,no,0,semi-furnished
North,,4,1,yes,no,no,no,3,unfurnished
South,,2,2,yes,yes,yes,no,0,semi-furnished
Southwest,,4,2,yes,yes,yes,no,0,furnished
Southwest,,3,1,yes,no,no,no,0,semi-furnished
Southwest,,3,1,yes,no,yes,no,1,semi-furnished
Northwest,,3,1,yes,no,no,no,0,semi-furnished
Southwest,,2,1,yes,no,no,no,0,furnished
London,,4,1,yes,no,no,yes,2,semi-furnished
Southeast,,2,1,yes,no,no,yes,1,unfurnished
South,,3,1,yes,no,no,no,2,furnished
North,,3,1,yes,no,no,no,0,furnished
South,,3,1,yes,no,no,no,1,semi-furnished
London,,2,1,yes,no,yes,yes,1,furnished
East,,3,1,yes,no,no,yes,1,furnished
Southwest,,3,1,yes,no,no,no,0,semi-furnished
North,,2,1,yes,yes,yes,no,0,semi-furnished
Northeast,,3,1,no,no,no,no,0,semi-furnished
East,,2,1,yes,no,yes,no,0,semi-furnished
West,,3,1,yes,no,no,no,0,semi-furnished
East,,3,1,yes,no,no,no,2,unfurnished
Southwest,,3,1,yes,no,no,no,1,semi-furnished
Southwest,,4,1,yes,no,no,yes,0,semi-furnished
Northeast,,3,1,yes,no,no,no,0,unfurnished
London,,3,2,yes,no,no,no,1,furnished
Southeast,,5,1,no,no,yes,no,0,semi-furnished
South,,3,1,yes,yes,yes,no,2,semi-furnished
Southwest,,4,1,yes,no,no,no,2,furnished
London,,4,1,yes,no,no,no,0,semi-furnished
South,,2,1,yes,no,yes,no,0,furnished
London,,2,1,yes,no,no,no,1,semi-furnished
Northwest,,2,1,yes,no,no,no,1,semi-furnished
East,,3,1,yes,no,yes,no,2,semi-furnished
London,,2,1,yes,no,no,no,0,furnished
London,,2,1,yes,no,no,no,0,unfurnished
London,,2,1,yes,no,no,yes,2,furnished
Northeast,,3,1,no,yes,yes,yes,0,unfurnished
London,,4,1,yes,no,no,no,0,furnished
Northeast,,2,1,yes,no,no,no,1,furnished
East,,3,1,yes,yes,no,no,0,semi-furnished
Northwest,,3,1,yes,no,yes,no,0,furnished
Northwest,,3,1,yes,no,no,yes,0,unfurnished
Southwest,,3,1,yes,no,yes,yes,0,unfurnished
Southeast,,2,1,yes,yes,yes,no,2,semi-furnished
London,,4,3,no,no,no,no,0,semi-furnished
West,,3,1,yes,no,yes,yes,0,unfurnished
Southwest,,4,2,no,no,no,no,0,semi-furnished
London,,2,1,no,no,no,no,1,unfurnished
South,,4,2,no,no,no,no,0,semi-furnished
London,,3,1,no,no,no,no,0,semi-furnished
London,,3,2,yes,no,no,yes,1,semi-furnished
North,,3,2,yes,no,yes,no,0,unfurnished
Southeast,,3,1,yes,no,no,no,2,semi-furnished
East,,3,1,yes,no,no,no,3,furnished
South,,3,1,yes,no,no,no,0,semi-furnished
Southwest,,3,1,yes,no,no,no,0,semi-furnished
Northeast,,3,1,yes,no,no,no,1,unfurnished
London,,3,1,yes,no,yes,no,0,furnished
North,,3,1,yes,no,yes,no,3,semi-furnished
Southwest,,3,1,yes,no,no,no,1,semi-furnished
East,,3,1,yes,no,no,no,1,semi-furnished
South,,3,1,yes,no,no,no,2,semi-furnished
South,,3,1,yes,no,yes,no,1,semi-furnished
London,,4,1,yes,no,no,yes,0,semi-furnished
Southeast,,3,1,yes,no,yes,no,0,semi-furnished
Southeast,,2,1,yes,no,yes,no,1,semi-furnished
North,,3,1,yes,no,yes,yes,0,furnished
North,,3,2,yes,no,no,no,0,semi-furnished
South,,2,1,yes,no,no,no,1,semi-furnished
Northwest,,2,1,yes,no,no,yes,0,semi-furnished
Southeast,,4,2,no,no,yes,no,1,unfurnished
Southwest,,3,2,yes,no,no,no,2,unfurnished
London,,3,1,yes,no,no,no,0,semi-furnished
West,,4,1,yes,no,yes,yes,2,semi-furnished
London,,3,1,yes,no,no,no,2,furnished
North,,3,2,yes,no,no,no,2,semi-furnished
Southwest,,3,2,yes,no,yes,yes,1,furnished
Northwest,,3,1,yes,no,no,no,3,semi-furnished
London,,3,1,no,no,yes,yes,0,semi-furnished
Southwest,,4,1,yes,no,no,yes,0,semi-furnished
South,,4,1,no,no,yes,no,0,unfurnished
London,,3,1,no,no,no,yes,1,semi-furnished
London,,3,2,no,no,yes,yes,0,semi-furnished
Northeast,,3,1,yes,no,no,no,0,furnished
South,,2,1,yes,yes,yes,no,0,unfurnished
East,,3,2,yes,yes,yes,no,3,furnished
Northwest,,4,1,yes,yes,yes,no,0,semi-furnished
West,,3,1,yes,no,no,no,0,semi-furnished
East,,2,1,yes,no,no,no,1,furnished
Northeast,,2,1,yes,no,yes,yes,2,furnished
North,,3,1,yes,no,no,yes,2,semi-furnished
Northeast,,4,2,yes,no,yes,no,0,unfurnished
North,,2,1,yes,yes,yes,no,0,semi-furnished
East,,4,2,yes,no,no,no,0,furnished
Northwest,,5,2,yes,no,no,no,0,semi-furnished
East,,2,2,yes,no,yes,no,2,semi-furnished
East,,3,1,yes,no,no,yes,0,furnished
South,,2,1,yes,no,no,no,0,semi-furnished
Northeast,,2,1,yes,no,no,no,0,semi-furnished
Northeast,,3,1,yes,no,yes,no,0,semi-furnished
London,,2,1,yes,yes,no,no,0,semi-furnished
East,,3,1,yes,no,no,no,0,unfurnished
East,,2,2,no,no,yes,no,0,semi-furnished
East,,3,1,yes,no,no,no,0,semi-furnished
Southwest,,2,1,yes,no,no,no,1,semi-furnished
North,,2,1,yes,no,no,no,0,semi-furnished
Southeast,,2,1,yes,no,no,no,2,unfurnished
Southwest,,3,1,yes,no,no,no,0,furnished
North,,2,1,yes,no,no,no,1,furnished
North,,3,1,yes,no,no,no,2,furnished
London,,5,2,no,no,yes,yes,1,furnished
East,,4,1,no,no,no,no,1,furnished
Southwest,,2,1,yes,no,no,no,0,semi-furnished
North,,3,1,yes,no,no,no,1,unfurnished
South,,2,1,yes,no,no,no,0,semi-furnished
Southeast,,3,1,yes,no,no,no,0,semi-furnished
South,,2,1,yes,no,no,no,0,furnished
Southwest,,2,1,yes,no,no,no,0,semi-furnished
East,,3,1,no,no,yes,no,0,semi-furnished
Northwest,,2,1,yes,no,no,no,0,furnished
North,,2,1,yes,no,yes,no,0,furnished
North,,2,1,yes,no,no,yes,0,unfurnished
Northwest,,2,1,no,no,no,no,0,semi-furnished
North,,2,1,yes,no,no,no,0,furnished
South,,2,1,yes,no,no,yes,2,semi-furnished
Southwest,,3,1,yes,no,yes,no,0,semi-furnished
East,,3,1,no,no,yes,no,0,semi-furnished
West,,2,1,yes,no,no,yes,0,furnished
Southwest,,2,2,yes,no,yes,no,0,semi-furnished
Southeast,,3,1,yes,yes,yes,no,0,unfurnished
South,,3,2,yes,no,no,no,2,semi-furnished
Southwest,,3,2,no,no,yes,no,0,unfurnished
London,,3,1,yes,no,no,yes,0,semi-furnished
Southwest,,3,1,yes,no,no,no,2,unfurnished
London,,2,1,yes,no,no,no,0,semi-furnished
South,,2,1,yes,no,no,no,0,semi-furnished
East,,3,1,yes,no,yes,no,0,furnished
London,,4,2,yes,no,yes,no,2,furnished
London,,2,1,no,no,no,no,0,furnished
North,,2,1,yes,no,no,no,0,unfurnished
Northeast,,3,1,yes,no,no,no,2,unfurnished
South,,3,1,yes,no,no,yes,0,semi-furnished
North,,3,1,yes,no,no,no,0,unfurnished
London,,4,1,yes,no,no,no,0,semi-furnished
Northeast,,3,2,no,no,no,no,0,unfurnished
West,,3,1,yes,no,yes,no,0,semi-furnished
South,,3,1,yes,no,no,no,0,semi-furnished
Northeast,,3,1,no,no,no,no,0,unfurnished
Southwest,,3,1,no,no,no,yes,0,unfurnished
North,,6,1,yes,no,no,no,1,unfurnished
North,,2,1,yes,no,no,no,1,semi-furnished
Southeast,,2,1,yes,no,no,no,1,furnished
East,,3,1,yes,no,no,no,1,unfurnished
East,,2,1,yes,no,no,no,1,semi-furnished
Southwest,,2,1,yes,no,no,no,1,unfurnished
North,,3,1,yes,no,no,no,3,unfurnished
Southeast,,2,1,yes,no,no,no,0,unfurnished
West,,3,1,yes,no,no,no,0,unfurnished
East,,3,1,no,no,no,no,0,unfurnished
London,,3,1,yes,no,no,no,0,unfurnished
Northwest,,2,1,yes,no,no,no,1,unfurnished
Northeast,,3,1,yes,no,no,no,0,furnished
South,,2,1,yes,no,no,no,0,unfurnished
East,,2,1,yes,no,no,no,2,unfurnished
Northeast,,3,1,yes,no,no,no,0,unfurnished
Northeast,,3,1,yes,no,no,no,0,furnished
London,,3,1,yes,no,yes,no,0,unfurnished
Southeast,,3,2,yes,no,yes,no,0,unfurnished
South,,2,1,yes,no,no,no,0,unfurnished
East,,3,1,yes,yes,yes,yes,1,furnished
Southwest,,3,1,yes,no,yes,no,2,unfurnished
North,,2,1,yes,no,no,no,0,furnished
Southwest,,4,1,yes,no,no,yes,2,unfurnished
Southwest,,4,1,no,no,no,no,0,semi-furnished
South,,2,1,yes,no,no,no,0,unfurnished
East,,2,1,yes,no,no,no,0,unfurnished
North,,2,1,no,no,no,yes,0,unfurnished
North,,3,1,yes,no,no,no,0,unfurnished
London,,3,1,no,no,yes,no,0,semi-furnished
East,,2,1,yes,no,yes,no,2,furnished
Northwest,,3,1,no,no,no,no,0,furnished
Northeast,,3,1,yes,no,yes,no,0,furnished
South,,2,1,yes,no,no,no,1,unfurnished
East,,4,1,yes,no,no,no,0,unfurnished
London,,2,1,no,no,no,yes,0,unfurnished
East,,4,1,yes,no,yes,yes,0,unfurnished
Southeast,,3,1,yes,yes,yes,no,0,furnished
Southwest,,4,1,no,no,no,no,1,semi-furnished
North,,4,1,yes,no,no,no,0,semi-furnished
South,,2,1,yes,no,no,no,0,unfurnished
Northeast,,3,1,yes,no,yes,no,0,furnished
Southeast,,3,1,yes,no,no,no,1,unfurnished
London,,2,1,no,no,no,no,0,semi-furnished
Northeast,,2,1,no,no,no,no,0,unfurnished
North,,4,1,yes,no,yes,no,0,unfurnished
London,,3,1,yes,no,no,no,0,unfurnished
Northwest,,2,1,yes,no,no,yes,1,unfurnished
London,,3,1,no,no,no,no,1,unfurnished
East,,3,1,no,no,no,no,0,furnished
Southwest,,1,1,yes,no,no,no,0,furnished
Northeast,,2,2,no,yes,yes,no,1,unfurnished
Southwest,,2,1,no,no,yes,no,0,semi-furnished
South,,2,1,yes,no,no,no,2,semi-furnished
Southeast,,3,1,no,no,yes,no,0,unfurnished
Southwest,,3,1,yes,no,yes,no,0,semi-furnished
East,,2,1,yes,no,no,no,0,semi-furnished
North,,3,1,yes,no,no,no,2,semi-furnished
London,,2,1,yes,no,no,no,1,unfurnished
London,,3,1,yes,no,no,yes,0,unfurnished
Northwest,,3,1,yes,no,yes,no,0,unfurnished
London,,3,1,yes,no,no,no,0,semi-furnished
West,,3,1,no,no,no,yes,0,unfurnished
Northeast,,3,1,yes,no,no,no,0,unfurnished
Southwest,,2,1,yes,no,no,no,0,unfurnished
North,,2,1,yes,no,no,no,1,unfurnished
Southwest,,2,1,yes,no,yes,yes,0,unfurnished
Northeast,,3,1,no,no,yes,no,0,semi-furnished
London,,2,1,yes,yes,yes,no,0,unfurnished
London,,2,1,yes,no,no,no,1,semi-furnished
North,,2,1,yes,no,no,no,0,unfurnished
London,,3,1,no,no,no,no,0,semi-furnished
East,,3,1,yes,no,no,no,2,semi-furnished
Southwest,,2,1,yes,no,no,no,0,semi-furnished
London,,2,1,yes,no,no,no,0,furnished
Southwest,,3,1,no,no,no,no,0,unfurnished
North,,3,1,yes,no,no,no,0,unfurnished
North,,4,1,yes,no,no,no,3,semi-furnished
Northeast,,2,1,yes,no,no,no,0,unfurnished
London,,4,1,no,no,no,no,1,unfurnished
West,,2,1,yes,no,no,no,0,semi-furnished
Southeast,,3,1,yes,no,yes,no,1,unfurnished
Southwest,,2,1,yes,no,no,no,0,unfurnished
North,,3,1,no,no,no,no,1,unfurnished
North,,4,1,no,no,no,no,0,unfurnished
Southwest,,3,1,no,no,no,no,1,semi-furnished
Northwest,,2,1,no,no,no,no,0,furnished
East,,3,1,no,no,no,no,0,unfurnished
London,,3,1,yes,no,no,no,0,semi-furnished
London,,2,1,no,no,no,no,0,unfurnished
North,,2,1,yes,no,no,no,0,unfurnished
Southeast,,2,1,yes,no,no,no,0,semi-furnished
Northwest,,4,1,yes,no,no,no,0,unfurnished
Northwest,,4,1,yes,no,no,no,0,unfurnished
East,,3,1,no,no,no,no,1,semi-furnished
London,,3,1,no,no,no,no,1,unfurnished
Northwest,,2,1,no,no,no,no,1,furnished
Northwest,,3,1,yes,no,yes,no,1,unfurnished
Northeast,,3,1,yes,no,no,no,0,furnished
East,,2,1,yes,no,no,no,0,unfurnished
South,,3,1,yes,no,no,no,1,unfurnished
South,,2,1,yes,no,no,no,0,unfurnished
Northeast,,2,1,yes,no,no,no,0,unfurnished
Northeast,,2,1,yes,no,no,no,0,semi-furnished
North,,3,3,no,yes,no,no,0,unfurnished
Southwest,,3,1,yes,no,no,no,0,unfurnished
London,,3,1,no,no,no,no,0,unfurnished
Southwest,,2,1,yes,no,no,no,1,semi-furnished
South,,3,1,yes,no,no,no,0,semi-furnished
East,,2,1,yes,no,no,yes,0,unfurnished
South,,3,1,yes,no,no,yes,0,unfurnished
West,,2,1,no,no,no,no,0,unfurnished
North,,2,1,yes,no,no,no,0,unfurnished
London,,2,1,yes,no,no,no,0,unfurnished
